text,label
What time is it in New York?,0
Hi there,0
What's the weather like?,0
How tall is the Eiffel Tower?,0
Name three fruits.,0
Tell me about cats.,0
Explain how sorting algorithms work,1
How do I implement a REST API?,1
What is machine learning?,1
Debug this JavaScript function,1
Compare React and Vue.js frameworks,1
Analyze the performance of this database query,1
Implement a distributed consensus algorithm like Raft and explain Byzantine fault tolerance mechanisms,2
"Design a microservices architecture with event sourcing, CQRS, and explain CAP theorem trade-offs in detail",2
Build a neural network from scratch using backpropagation and explain vanishing gradients problem with mathematical derivations,2
Create a compiler for a functional programming language with type inference and lambda calculus implementation,2
Implement MapReduce algorithm for large-scale data processing with comprehensive fault tolerance mechanisms,2
Design a blockchain consensus mechanism that addresses the scalability trilemma with detailed cryptographic proofs,2
Create a compiler for a functional programming language with type inference and lambda calculus implementation,2,2025-09-29T09:32:13.771Z
